START_DATE,END_DATE,CATEGORY,START,STOP,MILES,PURPOSE
2023-02-02 14:38,2023-02-02 14:42,Business,Patna,Navi Mumbai,2.6,Errand/Supplies
2023-02-04 08:40,2023-02-04 09:01,Business,Visakhapatnam,Varanasi,8.4,Errand/Supplies
2023-02-04 09:37,2023-02-04 10:09,Business,Visakhapatnam,Varanasi,15.6,Meal/Entertain
2023-02-04 10:26,2023-02-04 10:32,Business,Aurangabad,Delhi,2.6,Meal/Entertain
2023-02-04 15:59,2023-02-04 16:03,Business,Allahabad,Mysore,1.8,Meal/Entertain
2023-02-04 16:35,2023-02-04 16:39,Business,Delhi,Thane,2.6,Meal/Entertain
2023-02-04 18:04,2023-02-04 18:31,Business,Srinagar,Jabalpur,14.5,Meeting
2023-02-04 20:36,2023-02-04 20:55,Business,Pune,Ludhiana,12.4,Meeting
2023-02-05 11:47,2023-02-05 12:07,Business,Hubli,Hyderabad,16.7,Meeting
2023-02-05 13:22,2023-02-05 13:41,Business,Varanasi,Lucknow,16.7,Meeting
2023-02-06 16:20,2023-02-06 16:53,Business,Meerut,Vadodara,18.3,Between Offices
2023-02-06 18:57,2023-02-06 19:21,Business,Faridabad,Delhi,14.5,Errand/Supplies
2023-02-06 19:28,2023-02-06 19:37,Business,Navi Mumbai,Delhi,5.1,Meal/Entertain
2023-02-07 16:49,2023-02-07 17:01,Business,Amritsar,Guwahati,9.0,Errand/Supplies
2023-02-07 18:03,2023-02-07 18:17,Business,Chennai,Vasai,9.2,Customer Visit
2023-02-07 18:39,2023-02-07 18:53,Business,Mysore,Madurai,9.8,Temporary Site
2023-02-07 20:22,2023-02-07 20:40,Business,Amritsar,Navi Mumbai,9.8,Meeting
2023-02-08 12:57,2023-02-08 13:08,Business,Madurai,Kolkata,6.9,Meal/Entertain
2023-02-08 14:00,2023-02-08 14:10,Business,Allahabad,Jabalpur,4.3,Meal/Entertain
2023-02-09 10:54,2023-02-09 11:07,Personal,Rajkot,Allahabad,8.5,Meeting
2023-02-09 11:43,2023-02-09 11:50,Personal,Mysore,Navi Mumbai,4.8,Customer Visit
2023-02-09 13:36,2023-02-09 13:52,Personal,Aurangabad,Mysore,8.2,Meal/Entertain
2023-02-09 13:58,2023-02-09 14:02,Personal,Patna,Chandigarh,2.4,Meal/Entertain
2023-02-09 18:55,2023-02-09 19:11,Business,Agra,Rajkot,9.8,Customer Visit
2023-02-09 20:24,2023-02-09 20:40,Business,Amritsar,Hubli,9.8,Meal/Entertain
2023-02-11 16:28,2023-02-11 17:10,Business,Navi Mumbai,Vijayawada,27.8,Meal/Entertain
2023-02-11 17:49,2023-02-11 18:10,Business,Ghaziabad,Madurai,9.2,Meal/Entertain
2023-02-11 18:24,2023-02-11 18:46,Business,Vijayawada,Mumbai,21.7,Temporary Site
2023-02-11 20:36,2023-02-11 20:51,Business,Thane,Jaipur,9.8,Temporary Site
2023-02-12 08:21,2023-02-12 08:42,Business,Lucknow,Hyderabad,13.7,Temporary Site
2023-02-12 10:45,2023-02-12 10:52,Business,Varanasi,Jodhpur,4.2,Temporary Site
2023-02-12 11:14,2023-02-12 11:35,Business,Ranchi,Hyderabad,27.4,Customer Visit
2023-02-12 13:02,2023-02-12 13:36,Business,Rajkot,Guwahati,29.0,Meeting
2023-02-12 14:49,2023-02-12 15:06,Business,Kanpur,Visakhapatnam,13.5,Meeting
2023-02-12 15:33,2023-02-12 16:06,Business,Srinagar,Kalyan,18.5,Customer Visit
2023-02-13 14:21,2023-02-13 14:41,Business,Dhanbad,Kalyan,14.3,Meeting
2023-02-13 23:45,2023-02-14 00:01,Personal,Kolkata,Thane,4.3,Customer Visit
2023-02-14 00:50,2023-02-14 01:00,Personal,Chandigarh,Solapur,2.9,Meeting
2023-02-14 14:07,2023-02-14 14:40,Business,Vadodara,Chennai,13.0,Meeting
2023-02-14 14:46,2023-02-14 15:03,Business,Meerut,Aurangabad,3.2,Meeting
2023-02-14 16:35,2023-02-14 17:02,Business,Rajkot,Mumbai,20.9,Meeting
2023-02-14 17:06,2023-02-14 17:29,Business,Jodhpur,Chennai,22.4,Meeting
2023-02-16 03:21,2023-02-16 04:13,Business,Chandigarh,Srinagar,70.3,Customer Visit
2023-02-16 08:29,2023-02-16 09:34,Business,Meerut,Ludhiana,22.7,Meeting
2023-02-16 10:31,2023-02-16 10:41,Business,Lucknow,Chandigarh,4.2,Meeting
2023-02-16 11:32,2023-02-16 12:02,Business,Agra,Chennai,7.2,Customer Visit
2023-02-16 12:39,2023-02-16 12:42,Business,Bhopal,Pune,2.7,Meeting
2023-02-16 13:43,2023-02-16 13:55,Business,Patna,Amritsar,2.9,Temporary Site
2023-02-16 16:34,2023-02-16 17:10,Business,Vijayawada,Tiruchirappalli,9.7,Errand/Supplies
2023-02-16 17:17,2023-02-16 17:26,Business,Nashik,Faridabad,1.8,Meal/Entertain
2023-02-16 17:40,2023-02-16 17:44,Business,Chennai,Nashik,5.8,Errand/Supplies
2023-02-17 13:18,2023-02-17 14:04,Business,Madurai,Bhopal,23.7,Temporary Site
2023-02-17 15:17,2023-02-17 15:22,Business,Bhopal,Kolkata,2.7,Meal/Entertain
2023-02-17 15:33,2023-02-17 16:17,Business,Jaipur,Jodhpur,34.4,Temporary Site
2023-02-17 16:38,2023-02-17 16:43,Business,Kalyan,Kanpur,0.8,Errand/Supplies
2023-02-18 08:19,2023-02-18 08:27,Business,Vadodara,Lucknow,37.8,Temporary Site
2023-02-18 14:03,2023-02-18 14:45,Business,Jabalpur,Agra,20.4,Temporary Site
2023-02-18 15:16,2023-02-18 15:31,Business,Visakhapatnam,Hubli,9.7,Temporary Site
2023-02-18 18:44,2023-02-18 18:58,Business,Nagpur,Jaipur,8.4,Customer Visit
2023-02-18 19:27,2023-02-18 20:08,Business,Mysore,Kalyan,16.1,Meeting
2023-02-19 09:02,2023-02-19 09:14,Business,Visakhapatnam,Rajkot,29.5,Meeting
2023-02-19 09:21,2023-02-19 09:51,Business,Raipur,Chandigarh,18.0,Meeting
2023-02-19 10:21,2023-02-19 10:48,Business,Raipur,Varanasi,12.2,Meeting
2023-02-19 11:20,2023-02-19 11:26,Personal,Vijayawada,Dhanbad,2.4,Errand/Supplies
2023-02-19 11:45,2023-02-19 11:50,Personal,Nagpur,Vadodara,1.6,Errand/Supplies
2023-02-19 12:09,2023-02-19 12:27,Business,Solapur,Jabalpur,11.7,Temporary Site
2023-02-19 16:26,2023-02-19 16:45,Business,Jabalpur,Aurangabad,5.6,Customer Visit
2023-02-19 17:09,2023-02-19 17:20,Business,Amritsar,Howrah,6.8,Meeting
2023-02-19 20:08,2023-02-19 20:30,Personal,Gwalior,Raipur,21.9,Meal/Entertain
2023-02-19 20:34,2023-02-19 20:51,Personal,Aurangabad,Navi Mumbai,4.0,Meal/Entertain
2023-02-20 07:59,2023-02-20 08:32,Personal,Varanasi,Agra,23.2,Meeting
2023-02-20 10:48,2023-02-20 10:56,Personal,Aurangabad,Coimbatore,4.8,Meal/Entertain
2023-02-20 11:45,2023-02-20 11:53,Personal,Ranchi,Nashik,2.4,Customer Visit
2023-02-20 12:41,2023-02-20 13:17,Business,Chandigarh,Madurai,29.6,Meeting
2023-02-20 14:50,2023-02-20 15:54,Business,Chennai,Allahabad,37.2,Meeting
2023-02-20 16:59,2023-02-20 17:54,Personal,Ranchi,Srinagar,26.6,Customer Visit
2023-02-20 18:00,2023-02-20 18:03,Business,Gwalior,Chandigarh,5.1,Errand/Supplies
2023-02-20 19:28,2023-02-20 19:49,Business,Vijayawada,Raipur,12.4,Errand/Supplies
2023-02-21 09:07,2023-02-21 09:46,Business,Meerut,Lucknow,23.3,Meeting
2023-02-21 11:39,2023-02-21 11:43,Business,Gwalior,Kota,3.9,Errand/Supplies
2023-02-21 11:47,2023-02-21 12:01,Business,Faridabad,Ghaziabad,7.4,Errand/Supplies
2023-02-21 12:13,2023-02-21 12:35,Business,Vadodara,Jabalpur,14.2,Meal/Entertain
2023-02-21 12:51,2023-02-21 13:12,Business,Kota,Visakhapatnam,13.4,Temporary Site
2023-02-21 13:33,2023-02-21 14:30,Business,Howrah,Ahmedabad,36.5,Temporary Site
2023-02-21 14:36,2023-02-21 15:03,Business,Bhopal,Kolkata,20.9,Temporary Site
2023-02-21 15:14,2023-02-21 15:31,Business,Ludhiana,Patna,13.0,Temporary Site
2023-02-21 15:36,2023-02-21 15:41,Business,Hyderabad,Guwahati,3.5,Meal/Entertain
2023-02-21 16:04,2023-02-21 16:32,Business,Ludhiana,Chandigarh,15.6,Meal/Entertain
2023-02-21 23:15,2023-02-21 23:52,Business,Bhopal,Nashik,32.2,Meeting
2023-02-22 21:54,2023-02-22 22:09,Business,Delhi,Ludhiana,13.0,Customer Visit
2023-02-24 14:30,2023-02-24 14:35,Business,Jabalpur,Mumbai,2.4,Customer Visit
2023-02-24 15:19,2023-02-24 15:25,Business,Srinagar,Vijayawada,2.7,Errand/Supplies
2023-02-25 16:27,2023-02-25 16:35,Business,Nashik,Coimbatore,5.0,Errand/Supplies
2023-02-25 16:47,2023-02-25 17:02,Business,Ghaziabad,Allahabad,5.1,Errand/Supplies
2023-02-25 17:16,2023-02-25 17:36,Business,Rajkot,Navi Mumbai,9.7,Meal/Entertain
2023-02-25 18:22,2023-02-25 18:39,Business,Ahmedabad,Solapur,9.3,Meal/Entertain
2023-02-26 09:06,2023-02-26 09:29,Business,Hubli,Ahmedabad,10.1,Meeting
2023-02-26 11:05,2023-02-26 11:11,Personal,Dhanbad,Lucknow,2.7,Meal/Entertain
2023-02-26 11:35,2023-02-26 11:59,Business,Pune,Navi Mumbai,17.1,Meeting
2023-02-26 13:01,2023-02-26 13:24,Business,Thane,Delhi,15.9,Meeting
2023-02-26 14:38,2023-02-26 14:46,Personal,Kalyan,Howrah,3.1,Meal/Entertain
2023-02-26 15:00,2023-02-26 15:18,Personal,Chandigarh,Delhi,6.8,Meeting
2023-02-26 17:01,2023-02-26 17:12,Personal,Vasai,Navi Mumbai,3.2,Meeting
2023-02-28 05:22,2023-02-28 05:38,Business,Howrah,Jabalpur,12.4,Meeting
2023-02-28 09:26,2023-02-28 09:42,Business,Vadodara,Ludhiana,10.9,Meeting
2023-03-01 18:47,2023-03-01 19:10,Business,Amritsar,Ludhiana,12.9,Meal/Entertain
2023-03-01 21:27,2023-03-01 21:45,Business,Solapur,Visakhapatnam,12.9,Meeting
2023-03-03 09:45,2023-03-03 09:52,Personal,Vijayawada,Indore,3.5,Errand/Supplies
2023-03-03 11:04,2023-03-03 11:10,Business,Dhanbad,Jodhpur,3.7,Errand/Supplies
2023-03-03 14:44,2023-03-03 14:58,Business,Gwalior,Amritsar,8.4,Meal/Entertain
2023-03-03 15:27,2023-03-03 15:48,Business,Ludhiana,Allahabad,12.2,Customer Visit
2023-03-03 16:02,2023-03-03 16:42,Business,Jaipur,Nagpur,27.8,Meeting
2023-03-04 07:47,2023-03-04 08:06,Business,Rajkot,Kalyan,15.9,Meeting
2023-03-04 09:46,2023-03-04 10:03,Business,Kota,Vasai,15.9,Customer Visit
2023-03-04 11:46,2023-03-04 12:06,Business,Delhi,Nashik,16.7,Meeting
2023-03-04 13:03,2023-03-04 13:25,Business,Vadodara,Guwahati,17.5,Meeting
2023-03-04 13:40,2023-03-04 14:09,Business,Pune,Kota,25.3,Customer Visit
2023-03-04 15:56,2023-03-04 16:08,Business,Dhanbad,Ludhiana,7.9,Meal/Entertain
2023-03-04 16:16,2023-03-04 16:22,Business,Vadodara,Agra,1.3,Errand/Supplies
2023-03-04 16:43,2023-03-04 17:12,Business,Vasai,Rajkot,21.7,Meeting
2023-03-04 19:02,2023-03-04 19:08,Business,Srinagar,Kolkata,3.1,Temporary Site
2023-03-04 19:16,2023-03-04 19:25,Business,Thane,Patna,3.2,Meal/Entertain
2023-03-05 11:44,2023-03-05 11:59,Business,Faridabad,Kalyan,10.5,Meal/Entertain
2023-03-05 12:57,2023-03-05 13:12,Personal,Vijayawada,Ranchi,6.8,Errand/Supplies
2023-03-05 14:08,2023-03-05 14:18,Personal,Howrah,Agra,5.6,Meal/Entertain
2023-03-05 14:39,2023-03-05 15:01,Business,Dhanbad,Amritsar,12.6,Meal/Entertain
2023-03-05 16:52,2023-03-05 17:13,Business,Nagpur,Tiruchirappalli,12.6,Meal/Entertain
2023-03-05 17:23,2023-03-05 17:34,Business,Coimbatore,Delhi,6.3,Meal/Entertain
2023-03-07 09:10,2023-03-07 09:20,Business,Faridabad,Visakhapatnam,4.5,Errand/Supplies
2023-03-07 09:23,2023-03-07 09:47,Business,Howrah,Lucknow,20.0,Customer Visit
2023-03-07 12:10,2023-03-07 12:26,Business,Guwahati,Aurangabad,9.5,Customer Visit
2023-03-07 13:57,2023-03-07 14:18,Business,Jodhpur,Jaipur,15.1,Meeting
2023-03-07 15:19,2023-03-07 15:45,Business,Kota,Mysore,19.2,Between Offices
2023-03-08 14:38,2023-03-08 14:55,Business,Ahmedabad,Ahmedabad,11.6,Between Offices
2023-03-08 15:35,2023-03-08 16:00,Business,Bangalore,Chandigarh,12.2,Meal/Entertain
2023-03-08 16:13,2023-03-08 16:25,Personal,Kanpur,Visakhapatnam,2.6,Customer Visit
2023-03-10 03:36,2023-03-10 03:53,Business,Patna,Lucknow,13.5,Meeting
2023-03-10 10:08,2023-03-10 10:37,Business,Vadodara,Ahmedabad,20.6,Meeting
2023-03-10 14:39,2023-03-10 14:55,Business,Allahabad,Bhopal,3.7,Errand/Supplies
2023-03-10 16:18,2023-03-10 16:28,Business,Indore,Mumbai,2.6,Errand/Supplies
2023-03-11 09:47,2023-03-11 09:59,Business,Dhanbad,Mumbai,3.2,Meal/Entertain
2023-03-11 10:29,2023-03-11 10:36,Business,Mumbai,Ludhiana,1.3,Customer Visit
2023-03-11 11:57,2023-03-11 12:04,Business,Nashik,Aurangabad,1.9,Meal/Entertain
2023-03-11 13:43,2023-03-11 13:51,Business,Faridabad,Rajkot,1.6,Errand/Supplies
2023-03-11 19:21,2023-03-11 19:35,Business,Indore,Meerut,3.4,Errand/Supplies
2023-03-12 09:13,2023-03-12 09:22,Business,Madurai,Jodhpur,3.5,Customer Visit
2023-03-12 18:27,2023-03-12 18:37,Personal,Kota,Jaipur,3.1,Meal/Entertain
2023-03-13 09:07,2023-03-13 09:37,Business,Bangalore,Ludhiana,9.2,Meal/Entertain
2023-03-13 18:23,2023-03-13 18:43,Business,Nagpur,Guwahati,13.5,Meal/Entertain
2023-03-13 20:07,2023-03-13 20:28,Business,Gwalior,Allahabad,10.0,Meal/Entertain
2023-03-13 20:39,2023-03-13 20:58,Business,Kalyan,Chennai,16.9,Meal/Entertain
2023-03-13 21:11,2023-03-13 21:23,Business,Nashik,Jodhpur,11.6,Meal/Entertain
2023-03-13 22:19,2023-03-13 22:39,Business,Navi Mumbai,Lucknow,20.1,Meeting
2023-03-14 08:34,2023-03-14 08:49,Business,Nagpur,Madurai,3.2,Errand/Supplies
2023-03-14 18:39,2023-03-14 18:55,Business,Kalyan,Ahmedabad,4.3,Meal/Entertain
2023-03-15 08:45,2023-03-15 08:57,Business,Kalyan,Ludhiana,3.2,Meal/Entertain
2023-03-15 20:48,2023-03-15 21:01,Business,Mysore,Vadodara,4.5,Meal/Entertain
2023-03-16 11:34,2023-03-16 11:45,Business,Hubli,Lucknow,2.7,Meal/Entertain
2023-03-16 14:44,2023-03-16 14:55,Business,Visakhapatnam,Pune,3.2,Customer Visit
2023-03-16 18:43,2023-03-16 18:56,Business,Ahmedabad,Kalyan,3.4,Meal/Entertain
2023-03-17 00:33,2023-03-17 00:44,Personal,Jodhpur,Varanasi,2.7,Meeting
2023-03-17 12:52,2023-03-17 15:11,Business,Chennai,Pune,99.9,Customer Visit
2023-03-17 15:16,2023-03-17 15:58,Business,Vadodara,Ranchi,48.6,Meeting
2023-03-17 17:20,2023-03-17 18:02,Business,Hyderabad,Mysore,24.9,Meal/Entertain
2023-03-17 18:47,2023-03-17 19:09,Personal,Vasai,Jodhpur,7.9,Meeting
2023-03-17 20:57,2023-03-17 21:28,Personal,Indore,Gwalior,20.3,Errand/Supplies
2023-03-17 21:48,2023-03-17 22:04,Personal,Ghaziabad,Ranchi,16.7,Meal/Entertain
2023-03-18 07:15,2023-03-18 07:21,Business,Varanasi,Hyderabad,1.8,Meal/Entertain
2023-03-18 08:35,2023-03-18 08:43,Business,Vasai,Chandigarh,1.8,Meal/Entertain
2023-03-18 18:24,2023-03-18 19:08,Business,Pune,Howrah,21.2,Meeting
2023-03-18 19:23,2023-03-18 19:29,Business,Kota,Ludhiana,1.6,Errand/Supplies
2023-03-18 21:01,2023-03-18 21:15,Business,Jabalpur,Rajkot,14.8,Customer Visit
2023-03-19 09:10,2023-03-19 09:25,Business,Bhopal,Dhanbad,15.1,Meal/Entertain
2023-03-19 12:50,2023-03-19 13:13,Business,Amritsar,Ghaziabad,19.3,Customer Visit
2023-03-19 14:01,2023-03-19 14:57,Business,Raipur,Jabalpur,56.5,Customer Visit
2023-03-19 15:34,2023-03-19 16:38,Business,Agra,Bhopal,58.7,Meal/Entertain
2023-03-19 17:17,2023-03-19 17:32,Business,Bhopal,Nagpur,5.0,Meal/Entertain
2023-03-19 17:37,2023-03-19 17:47,Business,Raipur,Kanpur,3.4,Errand/Supplies
2023-03-19 17:52,2023-03-19 18:00,Business,Coimbatore,Jaipur,1.9,Customer Visit
2023-03-19 18:53,2023-03-19 19:29,Business,Chandigarh,Vijayawada,12.1,Meeting
2023-03-19 19:33,2023-03-19 20:39,Business,Agra,Visakhapatnam,91.7,Customer Visit
2023-03-20 07:37,2023-03-20 07:48,Business,Bangalore,Amritsar,9.5,Meeting
2023-03-20 11:42,2023-03-20 11:56,Business,Tiruchirappalli,Faridabad,10.0,Meeting
2023-03-20 17:08,2023-03-20 17:34,Business,Chennai,Jodhpur,16.7,Meeting
2023-03-20 18:34,2023-03-20 18:40,Personal,Kalyan,Dhanbad,1.9,Meal/Entertain
2023-03-20 18:45,2023-03-20 19:06,Business,Meerut,Kolkata,15.4,Customer Visit
2023-03-21 10:21,2023-03-21 10:26,Personal,Jodhpur,Pune,1.6,Meeting
2023-03-21 16:05,2023-03-21 16:13,Business,Patna,Coimbatore,1.4,Meal/Entertain
2023-03-21 18:59,2023-03-21 19:15,Business,Kanpur,Howrah,14.2,Customer Visit
2023-03-21 20:18,2023-03-21 20:55,Business,Ghaziabad,Solapur,41.2,Meal/Entertain
2023-03-22 06:17,2023-03-22 06:43,Business,Rajkot,Srinagar,37.0,Meal/Entertain
2023-03-22 12:06,2023-03-22 12:24,Personal,Allahabad,Chennai,13.0,Errand/Supplies
2023-03-22 19:12,2023-03-22 19:25,Personal,Jaipur,Patna,2.3,Errand/Supplies
2023-03-23 14:37,2023-03-23 14:42,Personal,Ranchi,Nashik,2.7,Customer Visit
2023-03-23 14:53,2023-03-23 14:59,Personal,Ahmedabad,Faridabad,2.6,Meal/Entertain
2023-03-24 19:47,2023-03-24 19:54,Personal,Madurai,Navi Mumbai,3.2,Customer Visit
2023-03-24 20:34,2023-03-24 20:40,Business,Nagpur,Chennai,3.5,Errand/Supplies
2023-03-25 13:24,2023-03-25 16:22,Business,Kalyan,Meerut,99.9,Customer Visit
2023-03-25 16:52,2023-03-25 22:22,Business,Mumbai,Raipur,99.9,Customer Visit
2023-03-25 22:54,2023-03-26 01:39,Business,Jabalpur,Ranchi,99.9,Meeting
2023-03-26 14:05,2023-03-26 14:29,Personal,Delhi,Nashik,10.8,Meeting
2023-03-26 15:19,2023-03-26 15:49,Personal,Solapur,Delhi,14.2,Meeting
2023-03-26 16:26,2023-03-26 16:30,Personal,Visakhapatnam,Tiruchirappalli,1.9,Customer Visit
2023-03-27 00:31,2023-03-27 00:40,Business,Amritsar,Mumbai,3.4,Errand/Supplies
2023-03-27 01:11,2023-03-27 01:23,Business,Guwahati,Gwalior,10.6,Meal/Entertain
2023-03-27 15:31,2023-03-27 15:56,Business,Mysore,Tiruchirappalli,9.8,Customer Visit
2023-03-27 21:26,2023-03-27 21:41,Personal,Rajkot,Bhopal,11.1,Meeting
2023-03-27 23:04,2023-03-27 23:18,Personal,Lucknow,Chennai,11.7,Meeting
2023-03-28 12:29,2023-03-28 12:42,Personal,Mumbai,Aurangabad,5.8,Customer Visit
2023-03-28 19:30,2023-03-28 20:23,Personal,Hyderabad,Srinagar,43.8,Meal/Entertain
2023-03-28 22:55,2023-03-28 23:26,Personal,Vijayawada,Ludhiana,41.4,Errand/Supplies
2023-03-29 15:27,2023-03-29 16:11,Personal,Tiruchirappalli,Kanpur,21.9,Meeting
2023-03-29 18:20,2023-03-29 18:39,Personal,Solapur,Bhopal,10.0,Meeting
2023-03-29 20:29,2023-03-29 20:44,Personal,Lucknow,Jodhpur,9.7,Meeting
2023-03-29 23:04,2023-03-29 23:21,Personal,Raipur,Nashik,22.2,Meeting
2023-03-30 22:05,2023-03-30 22:55,Business,Hyderabad,Coimbatore,46.3,Meal/Entertain
2023-03-31 12:47,2023-03-31 13:22,Business,Kota,Bhopal,25.9,Temporary Site
2023-03-31 14:37,2023-03-31 15:09,Business,Allahabad,Kolkata,26.4,Meal/Entertain
2023-04-01 13:43,2023-04-01 14:01,Business,Jodhpur,Mysore,17.7,Meeting
2023-04-01 14:36,2023-04-01 15:24,Business,Hyderabad,Vijayawada,24.9,Customer Visit
